model name,number,active features,result
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.981
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.982
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.98
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.981
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.984
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.979
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.98
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.982
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.984
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.97
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.97
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.97
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.97
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.97
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.96
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.988
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.99
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
00110,6,"['BURNING_NODES', 'BURNING_EDGES']",0.992
